accession	strain
MT350164	JX2016-2628-EV71
MT350165	JX2017-92-EV71
MT350166	JX2017-227-EV71
MT350167	JX2017-460-EV71
MT350168	JX2011-15-EV71
MT350169	JX2008-2-EV71
MT350170	JX2008-18-1-EV71
MT350171	JX2008-87-2-EV71
MT350172	JX2008-57-1-EV71
MT360921	No.F23
MT360922	No.F22
MT360923	No.F21
MT360924	No.F20
MT360925	No.F19
MT360926	No.F18
MT360927	No.F17
MT360928	No.F16
MT360929	No.F15
MT360930	No.F14
MT360931	No.F13
MT360932	No.F12
MT360933	No.F11
MT360934	No.F10
MT360935	No.F9
MT360936	No.F8
MT360937	No.F7
MT360938	No.F6
MT360939	No.F5
MT360940	No.F4
MT360941	No.F3
MT360942	No.F2
MT360943	No.F1
MT360944	No.40
MT360945	No.39
MT360946	No.38
MT360947	No.37
MT360948	No.36
MT360949	No.35
MT360950	No.34
MT360951	No.33
MT360952	No.32
MT360953	No.31
MT360954	No.30
MT360955	No.29
MT360956	No.28
MT360957	No.27
MT360958	No.26
MT360959	No.25
MT360960	No.24
MT360961	No.23
MT360962	No.22
MT360963	No.21
MT360964	No.20
MT360965	No.19
MT360966	No.18
MT360967	No.17
MT360968	No.16
MT360969	No.15
MT360970	No.14
MT360971	No.13
MT360972	No.12
MT360973	No.11
MT360974	No.10
MT360975	No.9
MT360976	No.8
MT360977	No.7
MT360978	No.6
MT360979	No.5
MT360980	No.4
MT360981	No.3
MT360982	No.2
MT360983	No.1
MT360984	F1
MT360985	F6
MT360986	F7
MT360987	F9
MT360988	F17
MT360989	F22
MT360990	F23
MT360991	No.1
MT360992	No.2
MT360993	No.8
MT360994	No.9
MT360995	No.22
MT360996	No.23
MT360997	No.36
MT360998	No.40
MT394533	NPEV/EV71/JX50-1/2014
MT394534	NPEV/EV71/JX62-1/2014
MT394535	NPEV/EV71/JX81-2/2014
MT394536	NPEV/EV71/JX37-1/2016
MT394537	NPEV/EV71/JX44-1/2016
MT394538	NPEV/EV71/JX5-1/2017
MT394539	NPEV/EV71/JX44-1/2017
MT394540	NPEV/EV71/JX44-2/2017
MT394541	NPEV/EV71/JX45-2/2017
MT394542	NPEV/EV71/JX124-2/2017
MT394589	NPEV/EV71/JX44-2/2014
MT614274	NUH_ENT_25/EVA71/Nottingham/2016
MT641385	CLI-B1-39-EV-A71
MT641405	CLI-B3-12-EV-A71
MT661795	UGA-14-3679_EV-A71
MT708786	2019-EV-A71-261
MT708787	2019-EV-A71-398
MT708788	2019-EV-A71-400
MT708789	2019-EV-A71-405
MT708790	2019-EV-A71-430
MT708791	2019-EV-A71-431
MT708792	2019-EV-A71-477
MT708793	2019-EV-A71-480
MT708794	2019-EV-A71-664
MT708795	2019-EV-A71-1060
MT708796	2019-EV-A71-1116
MT708797	2019-EV-A71-798
MT708798	2019-HA96
MT708799	2019-EV-A71-R398
MT708800	2019-EV-A71-R400
MT708801	2019-EV-A71-R477
MT708802	2019-EV-A71-R480
MT708803	2019-EV-A71-R798
MT708804	2019-EV-A71-R405
MT708805	2019-EV-A71-R431
MT747881	EV71-TW-209-2018
MT747882	EV71-TW-4002-2018
MT747883	EV71-TW-5011-2018
MT747884	EV71-TW-6012-2018
MT747885	EV71-TW-7001-2018
MT747886	EV71-TW-7002-2018
MT747887	EV71-TW-7013-2018
MT747888	EV71-TW-7019-2018
MT747889	EV71-TW-7025-2018
MT747890	EV71-TW-7026-2018
MT747891	EV71-TW-112-2019
MT747892	EV71-TW-106-2019
MT747893	EV71-TW-113-2019
MT747894	EV71-TW-122-2019
MT747895	EV71-TW-210-2019
MT747896	EV71-TW-225-2019
MT747897	EV71-TW-3018-2019
MT747898	EV71-TW-4015-2019
MT747899	EV71-TW-1691-1999
MT747900	EV71-TW-50555-2016
MT747901	EV71-TW-2278-2000
MT747902	EV71-TW-2792-2002
MT747903	EV71-TW-6001-2018
MT747904	EV71-TW-901-2019
MT861057	2009-3159-5UTR
MT861058	2009-3711-5UTR
MT861059	2009-3956-5UTR
MT861060	2009-4425-5UTR
MT861061	2009-4633-5UTR
MT861062	2009-5442-5UTR
MT861063	2009-5463-5UTR
MT861064	2009-5535-5UTR
MT861065	2010-140-5UTR
MT861066	2010-31-5UTR
MT861067	2010-6086-5UTR
MT861068	2010-6089-5UTR
MT861069	2010-6187-5UTR
MT861070	2010-7223-5UTR
MT861071	2010-7469-5UTR
MT861072	2010-7590-5UTR
MT861073	2010-7604-5UTR
MT861074	2010-7635-5UTR
MT861075	2011-43-5UTR
MT861076	2012-109-5UTR
MT861077	2012-14-5UTR
MT861078	2012-203-5UTR
MT861079	2012-290-5UTR
MT861080	2012-339-5UTR
MT861081	2012-351-5UTR
MT861082	2012-354-5UTR
MT861083	2012-356-5UTR
MT861084	2012-376-5UTR
MT861085	2012-97-5UTR
MT861086	2013-284-5UTR
MT861087	2015-216-5UTR
MT861088	2009-5463-VP1-1
MT861089	2009-5535-VP1-1
MT861090	2010-6089-VP1-1
MT861091	2011-43-VP1-1
MT861092	2011-558-VP1-1
MT861093	2012-290-VP1-1
MT861094	2012-354-VP1-1
MT861095	2012-356-VP1-1
MT861096	2012-376-VP1-1
MT861097	2012-97-VP1-1
MT861098	2010-7469-VP1-2
MT861099	2010-7604-VP1-2
MT861100	2011-432-VP1-2
MT861101	2012-290-VP1-2
MT861102	2012-351-VP1-2
MT861103	2012-354-VP1-2
MT861104	2012-356-VP1-2
MT861105	2012-376-VP1-2
MT861106	2015-216-VP1-2
MT861107	2009-5535-VP1-2
MT861108	2011-31-VP1-3
MT861109	2014-4-VP1-3
MT937043	33984/EV-A71/BRA/2005
MT937044	34009/EV-A71/BRA/2005
MT937045	36013/EV-A71/BRA/2006
MT937046	36902/EV-A71/BRA/2007
MT937047	38060/EV-A71/BRA/2008
MT937048	39635/EV-A71/BRA/2010
MT937049	41988/EV-A71/BRA/2011
MT937050	42110/EV-A71/BRA/2012
MT937051	42410/EV-A71/BRA/2012
MT937052	42512/EV-A71/BRA/2012
MT937053	43097/EV-A71/BRA/2012
MT937054	43815/EV-A71/BRA/2013
MT937055	44332/EV-A71/BRA/2013
MT937056	44346/EV-A71/BRA/2014
MT937057	44558/EV-A71/BRA/2014
MT937058	45165/EV-A71/BRA/2014
MT937059	46026/EV-A71/BRA/2015
MT937060	46064/EV-A71/BRA/2015
MT937061	46600/EV-A71/BRA/2015
MT937062	48963/EV-A71/BRA/2016
MW028359	1013Y1/China/Henan/EVA71/20170318
MW028360	1102Y1/China/Henan/EVA71/20170713
MW028361	1154Y1/China/Henan/EVA71/20170718
MW028362	1169Y1/China/Henan/EVA71/20170719
MW028363	1199Y1/China/Henan/EVA71/20170721
MW028364	1390Y1/China/Henan/EVA71/20170811
MW028365	1440Y1/China/Henan/EVA71/20170819
MW028366	1519Y1/China/Henan/EVA71/20170829
MW028367	1711Y1/China/Henan/EVA71/20170921
MW028368	1812Y1/China/Henan/EVA71/20171009
MW028369	1937Y1/China/Henan/EVA71/20171026
MW028370	1964Y1/China/Henan/EVA71/20171027
MW028371	2001Y1/China/Henan/EVA71/20170228
MW028372	2009Y1/China/Henan/EVA71/20170317
MW028373	2223Y1/China/Henan/EVA71/20171115
MW028374	2285Y1/China/Henan/EVA71/20171125
MW028375	2300Y1/China/Henan/EVA71/20171127
MW028376	2305Y1/China/Henan/EVA71/20171127
MW028377	2337Y1/China/Henan/EVA71/20171202
MW028378	2351Y1/China/Henan/EVA71/20171203
MW028379	2422Y1/China/Henan/EVA71/20171218
MW028380	2540Y1/China/Henan/EVA71/20180129
MW028381	3001Y1/China/Henan/EVA71/20170301
MW028382	4006Y1/China/Henan/EVA71/20170303
MW028383	4009Y1/China/Henan/EVA71/20170308
MW028384	4013Y1/China/Henan/EVA71/20170319
MW028385	4014Y1/China/Henan/EVA71/20170319
MW028386	4030Y1/China/Henan/EVA71/20170405
MW028387	4032Y1/China/Henan/EVA71/20170405
MW028388	7008Y1/China/Henan/EVA71/20170410
MW028389	7009Y1/China/Henan/EVA71/20170410
MW028390	7011Y1/China/Henan/EVA71/20170410
MW028391	7034Y1/China/Henan/EVA71/20170423
MW028392	7058Y1/China/Henan/EVA71/20170424
MW028393	7140Y1/China/Henan/EVA71/20170508
MW028394	7141Y1/China/Henan/EVA71/20170511
MW028395	7153Y1/China/Henan/EVA71/20170509
MW028396	7212Y1/China/Henan/EVA71/20170514
MW028397	7231Y1/China/Henan/EVA71/20170516
MW028398	7239Y1/China/Henan/EVA71/20170516
MW028399	7333Y1/China/Henan/EVA71/20170523
MW028400	7380Y1/China/Henan/EVA71/20170526
MW028401	7417Y1/China/Henan/EVA71/20170529
MW028402	7450Y1/China/Henan/EVA71/20170530
MW028403	7550Y1/China/Henan/EVA71/20170607
MW028404	7590Y1/China/Henan/EVA71/20170610
MW028405	7628Y1/China/Henan/EVA71/20170614
MW028406	7634Y1/China/Henan/EVA71/20170614
MW028407	7636Y1/China/Henan/EVA71/20170617
MW028408	7638Y1/China/Henan/EVA71/20170615
MW028409	7708Y1/China/Henan/EVA71/20170618
MW028410	7733Y1/China/Henan/EVA71/20170621
MW028411	7787Y1/China/Henan/EVA71/20170624
MW028412	7825Y1/China/Henan/EVA71/20170628
MW028413	7831Y1/China/Henan/EVA71/20170628
MW028414	7857Y1/China/Henan/EVA71/20170630
MW028415	7869Y1/China/Henan/EVA71/20170701
MW028416	7890Y1/China/Henan/EVA71/20170702
MW028417	7899Y2/China/Henan/EVA71/20170704
MW028418	7936Y1/China/Henan/EVA71/20170706
MW028419	7937Y1/China/Henan/EVA71/20170706
MW028420	8024Y1/China/Henan/EVA71/20170417
MW028421	8032Y1/China/Henan/EVA71/20170419
MW028422	8063Y1/China/Henan/EVA71/20170504
MW028423	9020Y1/China/Henan/EVA71/20170416
MW028424	9021Y1/China/Henan/EVA71/20170417
MW028425	9044Y1/China/Henan/EVA71/20170501
MW028426	H1009Y1/China/Henan/EVA71/20170308
MW028427	H1041Y1/China/Henan/EVA71/20170420
MW028428	Q1084Y1/China/Henan/EVA71/20170621
MW028429	Q1121Y1/China/Henan/EVA71/20170816
MW028430	H1152Y1/China/Henan/EVA71/20170913
MW028431	H1184Y1/China/Henan/EVA71/20171013
MW028432	H1188Y1/China/Henan/EVA71/20171015
MW028433	H1205Y1/China/Henan/EVA71/20180101
MW028434	H1261Y1/China/Henan/EVA71/20180206
MW030642	EV-A71/2019/FR/0622
MW132442	175/19 Omsk_RUS_2018
MW132443	176/19 Omsk_RUS_2018
MW132444	177/19 Omsk_RUS_2018
MW132445	179/19 Omsk_RUS_2018
MW132446	181/19 HMAO_RUS_2018
MW132447	182/19 Omsk_RUS_2018
MW132448	183/19 Omsk_RUS_2018
MW132449	2095_Bashkortostan_RUS_2016
MW132450	2938_SPb_RUS_2018
MW132451	1677_Stavropol_RUS_2019
MW132452	2170_Stavropol_RUS_2019
MW132453	2684_Novgorod_RUS_2019
MW132454	1405_Smolensk_RUS_2015
MW132455	2534_Kalinigrad_RUS_2015
MW132456	1319_Voronezh_RUS_2015
MW132457	1921_Rostov_RUS_2015
MW132458	1651_Kursk_2014
MW132459	587_Omsk_RUS_2016
MW139687	VND18/110/18_VNM_2018
MW139688	VND18/147_VNM_2018
MW139689	VND18/148_VNM_2018
MW139690	VND18/192_VNM_2018
MW139691	VND18/231_VNM_2018
MW139692	GS19/276_VNM_2019
MW139693	VND18/26_VNM_2018
MW139694	VND18/28_VNM_2018
MW139695	VND18/39_VNM_2018
MW139696	VND18/44_VNM_2018
MW139697	VVND18/78_VNM_2018
MW139698	VND18/143_VNM_2018
MW139699	VND18/145_VNM_2018
MW139700	VND18/146_VNM_2018
MW139701	VND18/150_VNM_2018
MW139702	VND18/172_VNM_2018
MW139703	VND18/176_VNM_2018
MW139704	VND18/177_VNM_2018
MW139705	VND18/187_VNM_2018
MW139706	VND18/189_VNM_2018
MW139707	VND18/216_VNM_2018
MW139708	VND18/227_VNM_2018
MW139709	VND18/230_VNM_2018
MW139710	VND18/235_VNM_2018
MW139711	VND18/237_VNM_2018
MW139712	GS18/538_VNM_2018
MW139713	GS18/664_VNM_2018
MW139714	GS18/668_VNM_2018
MW139715	GS18/701_VNM_2018
MW139716	GS18/704_VNM_2018
MW139717	GS18/742_VNM_2018
MW139718	GS18/1011_VNM_2018
MW139719	GS18/1026_VNM_2018
MW139720	GS18/1034_VNM_2018
MW139721	GS18/1074_VNM_2018
MW139722	GS18/1082_VNM_2018
MW139723	GS18/1086_VNM_2018
MW139724	GS18/1148_VNM_2018
MW139725	GS18/1150_VNM_2018
MW139726	GS18/1161_VNM_2018
MW139727	GS18/1223_VNM_2018
MW139728	GS18/1225_VNM_2018
MW139729	GS18/1289_VNM_2018
MW139730	GS18/1290_VNM_2018
MW139731	GS18/1295_VNM_2018
MW139732	VND19/01_VNM_2019
MW139733	VND19/02_VNM_2019
MW139734	VND19/09_VNM_2019
MW139735	VND19/21_VNM_2019
MW139736	VND19/34_VNM_2019
MW139737	VND19/53_VNM_2019
MW139738	VND19/56_VNM_2019
MW139739	GS19/275_VNM_2019
MW139740	GS19/359_VNM_2019
MW139741	GS19/42_VNM_2019
MW139742	GS19/107_VNM_2019
MW139743	GS19/329_VNM_2019
MW139744	VND18/233_VNM_2018
MW179232	NJ2014-011-EV71
MW179233	NJ2014-013-EV71
MW179234	NJ2014-032-EV71
MW179235	NJ2014-047-EV71
MW179236	NJ2014-073-EV71
MW179237	DY2014-081-EV71
MW179238	DY2014-087-EV71
MW179239	MY2014-147-EV71
MW179240	MY2014-150-EV71
MW179241	MY2014-153-EV71
MW179242	MY2014-154-EV71
MW179243	MY2014-169-EV71
MW179244	MY2014-170-EV71
MW179245	MY2014-172-EV71
MW179246	MY2014-175-EV71
MW179247	MY2014-186-EV71
MW179248	MY2014-189-EV71
MW179249	NJ2014-210-EV71
MW179250	NJ2014-227-EV71
MW179251	NJ2014-239-EV71
MW179252	NJ2014-240-EV71
MW179253	NJ2014-246-EV71
MW179254	NJ2014-248-EV71
MW179255	DY2014-265-EV71
MW179256	DY2014-266-EV71
MW179257	DY2014-267-EV71
MW179258	DY2014-269-EV71
MW179259	DY2014-270-EV71
MW179260	DY2014-271-EV71
MW179261	DY2014-288-EV71
MW179262	DY2014-290-EV71
MW179263	YB2014-296-EV71
MW179264	NC2014-314-EV71
MW179265	LZ2014-393-EV71
MW179266	LZ2014-396-EV71
MW179267	LZ2014-402-EV71
MW179268	MS2014-420-EV71
MW179269	NJ2014-436-EV71
MW179270	NJ2014-437-EV71
MW179271	DZ2014-445-EV71
MW179272	DZ2014-448-EV71
MW179273	DZ2014-450-EV71
MW179274	DZ2014-453-EV71
MW179275	DZ2014-457-EV71
MW179276	YA2015-007-EV71
MW179277	YA2015-008-EV71
MW179278	DY2015-019-EV71
MW179279	DY2015-020-EV71
MW179280	DY2015-022-EV71
MW179281	ZG2015-027-EV71
MW179282	ZG2015-028-EV71
MW179283	YA2015-098-EV71
MW179284	YA2015-102-EV71
MW179285	YA2015-103-EV71
MW179286	YB2015-226-EV71
MW179287	LZ2015-343-EV71
MW179288	LZ2015-354-EV71
MW179289	CD2015-001-EV71
MW179290	ZY2015-001-EV71
MW179291	ZY2015-002-EV71
MW179292	ZY2015-004-EV71
MW179293	ZY2015-005-EV71
MW179294	ZY2015-010-EV71
MW179295	ZY2015-011-EV71
MW179296	DY2016-002-EV71
MW179297	DY2016-013-EV71
MW179298	DY2016-014-EV71
MW179299	DY2016-023-EV71
MW179300	DY2016-024-EV71
MW179301	GY2016-067-EV71
MW179302	GY2016-068-EV71
MW179303	LZ2016-085-EV71
MW179304	LZ2016-090-EV71
MW179305	DZ2016-108-EV71
MW179306	DZ2016-137-EV71
MW179307	DZ2016-138-EV71
MW179308	DZ2016-139-EV71
MW179309	GA2016-222-EV71
MW179310	GA2016-226-EV71
MW179311	ZG2016-229-EV71
MW179312	ZG2016-232-EV71
MW179313	LES2016-249-EV71
MW179314	LES2016-252-EV71
MW179315	LES2016-255-EV71
MW179316	LES2016-263-EV71
MW179317	NJ2016-273-EV71
MW179318	NJ2016-275-EV71
MW179319	NJ2016-278-EV71
MW179320	NJ2016-279-EV71
MW179321	NJ2016-284-EV71
MW179322	NJ2016-287-EV71
MW179323	NJ2016-293-EV71
MW179324	DY2016-303-EV71
MW179325	DY2016-341-EV71
MW179326	DY2016-347-EV71
MW179327	DY2016-353-EV71
MW179328	ZG2016-01-EV71
MW179329	ZG2016-02-EV71
MW179330	ZG2016-03-EV71
MW179331	ZG2016-05-EV71
MW179332	ZG2016-06-EV71
MW179333	ZG2016-07-EV71
MW179334	ZG2016-08-EV71
MW179335	ZG2016-11-EV71
MW179336	ZG2016-13-EV71
MW179337	ZG2016-14-EV71
MW179338	ZG2016-15-EV71
MW179339	ZG2016-16-EV71
MW179340	ZG2016-17-EV71
MW179341	ZG2016-18-EV71
MW179342	ZG2016-27-EV71
MW179343	ZG2016-34-EV71
MW179344	ZG2016-35-EV71
MW179345	ZG2016-36-EV71
MW179346	ZG2016-37-EV71
MW179347	ZG2016-40-EV71
MW179348	ZG2016-41-EV71
MW179349	ZG2016-42-EV71
MW179350	ZG2016-44-EV71
MW179351	YB2018-159-EV71
MW179352	LES2018-220-EV71
MW179353	GA2018-231-EV71
MW179354	GA2018-232-EV71
MW179355	GA2018-243-EV71
MW179356	AB2018-271-EV71
MW179357	AB2018-272-EV71
MW179358	AB2018-273-EV71
MW179359	ZY2018-17-EV71
MW179360	YA2019-155-EV71
MW179361	YA2019-167-EV71
MW179362	YA2019-169-EV71
MW179363	LS2019-352-EV71
MW179364	LS2019-353-EV71
MW179365	GZ2019-355-EV71
MW179366	GZ2019-361-EV71
MW179367	PZH2019-371-EV71
MW179368	PZH2019-375-EV71
MW179369	PZH2019-376-EV71
MW179370	PZH2019-377-EV71
MW179371	NJ2017-032-EV71
MW179372	NJ2017-037-EV71
MW179373	DY2017-057-EV71
MW179374	DY2017-066-EV71
MW179375	AB2017-072-EV71
MW179376	AB2017-074-EV71
MW179377	AB2017-077-EV71
MW179378	NC2017-080-EV71
MW179379	NC2017-082-EV71
MW179380	MY2017-089-EV71
MW179381	MY2017-093-EV71
MW179382	MY2017-095-EV71
MW179383	MY2017-098-EV71
MW179384	MY2017-099-EV71
MW179385	MY2017-103-EV71
MW179386	MY2017-104-EV71
MW179387	MY2017-105-EV71
MW179388	DZ2017-108-EV71
MW179389	DZ2017-109-EV71
MW179390	DZ2017-112-EV71
MW179391	MS2017-135-EV71
MW179392	MS2017-136-EV71
MW179393	MS2017-137-EV71
MW179394	MS2017-141-EV71
MW179395	MS2017-143-EV71
MW179396	BZ2017-156-EV71
MW179397	BZ2017-157-EV71
MW179398	LZ2017-181-EV71
MW179399	LZ2017-185-EV71
MW179400	CD2017-200-EV71
MW179401	CD2017-204-EV71
MW179402	GA2017-231-EV71
MW179403	GA2017-233-EV71
MW179404	GY2017-290-EV71
MW179405	GY2017-291-EV71
MW179406	GY2017-292-EV71
MW179407	MY2017-01-EV71
MW179408	MY2017-03-EV71
MW179409	MY2017-04-EV71
MW179410	MY2017-05-EV71
MW179411	MY2017-07-EV71
MW179412	MY2017-09-EV71
MW179413	ZG2017-01-EV71
MW179414	ZG2017-09-EV71
MW179415	ZG2017-11-EV71
MW179416	ZG2017-12-EV71
MW179417	ZG2017-13-EV71
MW179418	ZG2017-23-EV71
MW179419	ZY2017-08-EV71
MW179420	ZY2017-11-EV71
MW179421	ZY2017-12-EV71
MW179422	ZY2017-21-EV71
MW196697	EVA71/COR/ARG/Dec_2012/540
MW196698	EVA71/COR/ARG/Dec_2017/2579
MW196699	EVA71/COR/ARG/Dec_2017/7
MW196700	EVA71/COR/ARG/Feb_2018/5
MW196701	EVA71/COR/ARG/Jan_2011/3
MW196702	EVA71/COR/ARG/Jan_2018/4532
MW196703	EVA71/COR/ARG/Mar_2017/22
MW196704	EVA71/COR/ARG/Nov_2017/146
MW196705	EVA71/COR/ARG/Nov_2017/257
MW196706	EVA71/COR/ARG/Oct_2017/3
MW196707	EVA71/COR/ARG/Oct_2017/8856
MW196708	EVA71/COR/ARG/Sep_2017/6495
MW196709	EVA71/COR/ARG/Sep_2017/7
MW196710	EVA71/PY/URY/Jan_2012/OTU-C
MW196711	EVA71/SA/URY/Oct_2017/OTU-B
MW196712	EVA71/BU/URY/Sep_2017/OTU-A
MW298156	Tainan/4643/98
MW354736	CU3545
MW354737	CU3426
MW354738	CU3462
MW354739	CU3529
MW354740	CU3472
MW354741	CU3405
MW354742	CU3418
MW354743	CU3312
MW354744	CU3399
MW354745	CU3414
MW354746	CU3485
MW473684	SD92-41
MW477479	201713#/XX/CHN/2017
MW655539	EVA71/KM18A/Kunming/CHN/2019
MW655540	EVA71/KM18B/Kunming/CHN/2019
MW713445	EV71
MW731997	EV-A71/human/Germany/LE-A31KEX9/2013
MW731998	EV-A71/human/Germany/LE-A32DFB4/2013
MW731999	EV-A71/human/Germany/LE-A32GBD6/2013
MW732000	EV-A71/human/Germany/LE-A52GBB0/2015
MW732001	EV-A71/human/Germany/LE-A53FBH5/2015
MW732002	EV-A71/human/Germany/LE-A54AFA5/2015
MW732003	EV-A71/human/Germany/LE-A60KEH9/2016
MW732004	EV-A71/human/Germany/LE-A61DAX3/2016
MW732005	EV-A71/human/Germany/LE-A61EHC0/2016
MW732006	EV-A71/human/Germany/LE-A61FFC8/2016
MW732007	EV-A71/human/Germany/LE-A61FFC9/2016
MW732008	EV-A71/human/Germany/LE-A61GXC1/2016
MW732009	EV-A71/human/Germany/LE-A61GXE5/2016
MW732010	EV-A71/human/Germany/LE-A61GHX7/2016
MW732011	EV-A71/human/Germany/LE-A61KBX6/2016
MW732012	EV-A71/human/Germany/LE-A62XAX8/2016
MW732013	EV-A71/human/Germany/LE-A62XGB6/2016
MZ004682	BI019 StV2
MZ004683	BI020 S1V2
MZ004684	BC187 S1V1
MZ004685	CI010 S1V1
MZ004686	CI013 StV2
MZ004687	PI003 S1V1
MZ004688	PI005 S1V1
MZ004689	PI007 S1V1
MZ004690	PC047 S1V1
MZ004691	PC054 S1V1
MZ004692	PC176 S1V1
MZ004693	UI001 S1V1
OF129906	OF129906
OF266945	OF266945
OG149350	OG149350
OK570251	MAD-3126-2011
OK605910	IAL_EVNP_33_BRA_2015
OK605911	IAL_EVNP_34_BRA_2008
OK605912	IAL_EVNP_36_BRA_2013
OK605913	IAL_EVNP_69_BRA_2005
OK605914	IAL_EVNP_120_BRA_2006
OK605915	IAL_EVNP_41_BRA_2019
OK605916	IAL_EVNP_53_BRA_2015
OK664826	JHU-876/2017
OM417111	EV-A71/TH/MUMT-1/2016
OM417112	EV-A71/TH/MUMT-2/2016
OM417113	EV-A71/TH/MUMT-3/2016
OM417114	EV-A71/TH/MUMT-4/2016
OM417115	EV-A71/TH/MUMT-5/2016
OM948982	OM948982
ON191506	EV_A71/2016_085
ON191507	EV_A71/2016_200
ON191508	EV_A71/2016_248
ON191509	EV_A71/2016_419
ON191510	EV_A71/2018_1059
ON191511	EV_A71/2019_196
ON191512	EV_A71/2019_394
ON227451	ON227451
ON502178	000601/GX/CHN/2017
ON502179	1/TJ/CHN/2018
ON502180	10/ZJ/CHN/2016
ON502181	101/ZJ/CHN/2017
ON502182	110/ZJ/CHN/2017
ON502183	11-11/LN/CHN/2017
ON502184	116/SX/CHN/2017
ON502185	116/TJ/CHN/2016
ON502186	119/SX/CHN/2017
ON502187	119/TJ/CHN/2016
ON502188	122/GD/CHN/2017
ON502189	13/BJ/CHN/2018
ON502190	13/SC/CHN/2016
ON502191	13/XJ/CHN/2018
ON502192	1321Y/TJ/CHN/2016
ON502193	133/GS/CHN/2019
ON502194	14/BJ/CHN/2018
ON502195	148/GS/CHN/2018
ON502196	16/ZJ/CHN/2016
ON502197	164/SX/CHN/2017
ON502198	165/GS/CHN/2018
ON502199	168/CQ/CHN/2016
ON502200	169/HB/CHN/2018
ON502201	17/BJ/CHN/2017
ON502202	17/SC/CHN/2016
ON502203	17/SX/CHN/2018
ON502204	18/HaN/CHN/2018
ON502205	18/SX/CHN/2018
ON502206	181/HB/CHN/2017
ON502207	187/HB/CHN/2017
ON502208	19/BJ/CHN/2018
ON502209	19/HaN/CHN/2017
ON502210	19/HLJ/CHN/2017
ON502211	195/HB/CHN/2016
ON502212	2/AH/CHN/2016
ON502213	20/BJ/CHN/2018
ON502214	20/CQ/CHN/2017
ON502215	20/JL/CHN/2018
ON502216	21/JL/CHN/2018
ON502217	21/JX/CHN/2017
ON502218	22/BJ/CHN/2017
ON502219	22/GD/CHN/2018
ON502220	226/HB/CHN/2016
ON502221	23/JL/CHN/2018
ON502222	232/HB/CHN/2016
ON502223	233/SD/CHN/2017
ON502224	238/SD/CHN/2017
ON502225	24/HaN/CHN/2018
ON502226	24/HB/CHN/2018
ON502227	24/SC/CHN/2016
ON502228	242/HB/CHN/2016
ON502229	245/GS/CHN/2018
ON502230	250/HeN/CHN/2018
ON502231	26/JX/CHN/2018
ON502232	26/SaX/CHN/2017
ON502233	26-53/LN/CHN/2017
ON502234	26-67/LN/CHN/2017
ON502235	269/HB/CHN/2018
ON502236	27/HaN/CHN/2018
ON502237	274/HB/CHN/2018
ON502238	276/HeN/CHN/2017
ON502239	287/HeN/CHN/2017
ON502240	3/GS/CHN/2016
ON502241	3/TJ/CHN/2018
ON502242	3/XJ/CHN/2018
ON502243	31/JX/CHN/2016
ON502244	313/HeN/CHN/2017
ON502245	320/TJ/CHN/2016
ON502246	34/HLJ/CHN/2017
ON502247	35/HaN/CHN/2018
ON502248	35/SaX/CHN/2017
ON502249	369/GS/CHN/2017
ON502250	373/GS/CHN/2017
ON502251	375/GS/CHN/2017
ON502252	39/HuN/CHN/2016
ON502253	39/JX/CHN/2017
ON502254	4/CQ/CHN/2017
ON502255	41/GS/CHN/2016
ON502256	42/GD/CHN/2018
ON502257	44/QH/CHN/2017
ON502258	5/HaN/CHN/2017
ON502259	50/AH/CHN/2017
ON502260	50/SC/CHN/2016
ON502261	52/CQ/CHN/2016
ON502262	520/GS/CHN/2017
ON502263	53/TJ/CHN/2017
ON502264	57/GD/CHN/2018
ON502265	58/GD/CHN/2018
ON502266	59/JX/CHN/2016
ON502267	6/HaN/CHN/2017
ON502268	63/QH/CHN/2017
ON502269	64/AH/CHN/2017
ON502270	65/AH/CHN/2017
ON502271	66/HLJ/CHN/2018
ON502272	67/HLJ/CHN/2018
ON502273	67/HuN/CHN/2016
ON502274	68/CQ/CHN/2016
ON502275	69/SX/CHN/2018
ON502276	70/XJ/CHN/2016
ON502277	71/HLJ/CHN/2018
ON502278	71/HuN/CHN/2016
ON502279	72/JX/CHN/2016
ON502280	76/JX/CHN/2016
ON502281	78/XJ/CHN/2016
ON502282	79/HLJ/CHN/2018
ON502283	8/GD/CHN/2017
ON502284	8/ZJ/CHN/2016
ON502285	80/HLJ/CHN/2018
ON502286	81/JX/CHN/2016
ON502287	82/JL/CHN/2018
ON502288	83/JL/CHN/2018
ON502289	83/XJ/CHN/2016
ON502290	86/SX/CHN/2017
ON502291	9/BJ/CHN/2018
ON502292	9/GS/CHN/2016
ON502293	9/TJ/CHN/2018
ON502294	93/XJ/CHN/2016
ON502295	A12/YN/CHN/2016
ON502296	a4/HeN/CHN/2018
ON502297	a5/HeN/CHN/2018
ON502298	A50/YN/CHN/2017
ON502299	A80/YN/CHN/2018
ON502300	A96/YN/CHN/2016
ON502301	B58/YN/CHN/2017
ON502302	B89/YN/CHN/2017
ON502303	C109/YN/CHN/2016
ON502304	C76/YN/CHN/2018
ON502305	C99/YN/CHN/2018
ON502306	D28/YN/CHN/2016
ON502307	ET0520/TJ/CHN/2016
ON502308	F257/YN/CHN/2016
ON502309	F309/YN/CHN/2016
ON502310	F315/YN/CHN/2016
